#92504
signalName,Outcome from download
FBND,Downloaded :)))
ZSOL,Downloaded :)))
ZSIU,Downloaded :)))
NBND,Downloaded :)))
BPCA,Downloaded :)))
FAXS,Downloaded :)))
BPME,Downloaded :)))
RSOL,Downloaded :)))
ZMAG,Downloaded :)))
RBND,Downloaded :)))
FLME,Downloaded :)))
ZBND,Downloaded :)))
RSIL,Downloaded :)))
RMAG,Downloaded :)))
PSIR,Downloaded :)))
RSOU,Downloaded :)))
ZSIL,Downloaded :)))
ZSOU,Downloaded :)))
RSIU,Downloaded :)))
FLCA,Downloaded :)))
PSI,Downloaded :)))
PSIZ,Downloaded :)))
